#field 	 camCol  filter FWHMvK eta psf_width airmass mjd		 RA		 Dec		 psf_nstar  neff_psf	 sky_frames	 
19 	 1 	 1 	 1.705 	 0.959 	 1.713 	1.248 	52576.103235 	313.2474 	-1.1542 	33 	 41.720 	1.878 	
19 	 1 	 2 	 1.538 	 0.965 	 1.555 	1.242 	52576.099918 	313.2474 	-1.1542 	23 	 34.360 	5.897 	
19 	 1 	 3 	 1.521 	 0.991 	 1.539 	1.243 	52576.100747 	313.2474 	-1.1542 	33 	 33.695 	11.096 	
19 	 1 	 4 	 1.640 	 0.863 	 1.632 	1.247 	52576.102406 	313.2474 	-1.1542 	77 	 37.863 	32.567 	
20 	 1 	 0 	 1.817 	 0.952 	 1.769 	1.245 	52576.101991 	313.3971 	-1.1542 	60 	 44.500 	1.467 	
20 	 1 	 1 	 1.727 	 0.959 	 1.727 	1.248 	52576.103649 	313.3971 	-1.1542 	31 	 42.409 	1.876 	
20 	 1 	 2 	 1.533 	 0.963 	 1.559 	1.242 	52576.100332 	313.3971 	-1.1542 	26 	 34.578 	5.859 	
20 	 1 	 3 	 1.521 	 0.987 	 1.541 	1.243 	52576.101162 	313.3971 	-1.1542 	34 	 33.772 	11.008 	
20 	 1 	 4 	 1.630 	 0.863 	 1.622 	1.247 	52576.102820 	313.3971 	-1.1542 	76 	 37.386 	32.375 	
21 	 1 	 0 	 1.828 	 0.943 	 1.796 	1.245 	52576.102406 	313.5468 	-1.1542 	59 	 45.872 	1.470 	
21 	 1 	 1 	 1.733 	 0.958 	 1.739 	1.248 	52576.104064 	313.5468 	-1.1542 	29 	 43.008 	1.881 	
21 	 1 	 2 	 1.546 	 0.962 	 1.572 	1.242 	52576.100747 	313.5468 	-1.1542 	31 	 35.140 	5.856 	
21 	 1 	 3 	 1.514 	 0.988 	 1.536 	1.243 	52576.101576 	313.5468 	-1.1542 	28 	 33.533 	11.001 	
21 	 1 	 4 	 1.628 	 0.863 	 1.619 	1.247 	52576.103235 	313.5468 	-1.1542 	65 	 37.285 	32.241 	
22 	 1 	 0 	 1.829 	 0.942 	 1.794 	1.245 	52576.102820 	313.6965 	-1.1542 	52 	 45.778 	1.471 	
22 	 1 	 1 	 1.693 	 0.960 	 1.703 	1.248 	52576.104479 	313.6965 	-1.1542 	38 	 41.240 	1.883 	
22 	 1 	 2 	 1.549 	 0.963 	 1.572 	1.242 	52576.101162 	313.6965 	-1.1542 	36 	 35.137 	5.851 	
22 	 1 	 3 	 1.523 	 0.989 	 1.549 	1.243 	52576.101991 	313.6965 	-1.1542 	30 	 34.119 	10.986 	
22 	 1 	 4 	 1.627 	 0.863 	 1.620 	1.247 	52576.103649 	313.6965 	-1.1542 	67 	 37.301 	32.178 	
23 	 1 	 0 	 1.821 	 0.949 	 1.781 	1.245 	52576.103235 	313.8462 	-1.1542 	55 	 45.094 	1.480 	
23 	 1 	 1 	 1.697 	 0.957 	 1.713 	1.248 	52576.104893 	313.8462 	-1.1542 	46 	 41.725 	1.884 	
