#field 	 camCol  filter FWHMvK eta psf_width airmass mjd		 psf_nstar  neff_psf	 sky_frames	 
22 	 1 	 0 	 1.856 	 0.925 	 1.818 	1.204 	53288.094472 	46 	 46.981 	1.577 	
22 	 1 	 1 	 1.587 	 0.959 	 1.558 	1.205 	53288.096131 	10 	 34.523 	1.839 	
22 	 1 	 2 	 1.404 	 0.958 	 1.411 	1.203 	53288.092814 	2 	 28.309 	5.114 	
22 	 1 	 3 	 1.299 	 0.999 	 1.260 	1.203 	53288.093643 	7 	 22.582 	8.862 	
22 	 1 	 4 	 1.418 	 0.932 	 1.407 	1.204 	53288.095301 	24 	 28.154 	24.736 	
23 	 1 	 0 	 1.815 	 0.929 	 1.768 	1.204 	53288.094887 	57 	 44.422 	1.557 	
23 	 1 	 1 	 1.572 	 0.957 	 1.555 	1.205 	53288.096545 	15 	 34.373 	1.804 	
23 	 1 	 2 	 1.369 	 0.969 	 1.341 	1.203 	53288.093228 	9 	 25.579 	5.037 	
23 	 1 	 3 	 1.376 	 0.987 	 1.362 	1.203 	53288.094057 	11 	 26.382 	8.772 	
23 	 1 	 4 	 1.437 	 0.933 	 1.423 	1.204 	53288.095716 	25 	 28.805 	24.442 	
24 	 1 	 0 	 1.697 	 0.947 	 1.647 	1.204 	53288.095301 	60 	 38.552 	1.546 	
24 	 1 	 1 	 1.574 	 0.955 	 1.556 	1.205 	53288.096960 	18 	 34.412 	1.793 	
24 	 1 	 2 	 1.366 	 0.970 	 1.335 	1.203 	53288.093643 	9 	 25.330 	5.022 	
24 	 1 	 3 	 1.425 	 0.976 	 1.431 	1.203 	53288.094472 	6 	 29.124 	8.742 	
24 	 1 	 4 	 1.539 	 0.930 	 1.505 	1.204 	53288.096131 	29 	 32.202 	24.458 	
25 	 1 	 0 	 1.733 	 0.945 	 1.679 	1.204 	53288.095716 	71 	 40.065 	1.535 	
25 	 1 	 1 	 1.623 	 0.953 	 1.602 	1.205 	53288.097375 	16 	 36.496 	1.765 	
25 	 1 	 2 	 1.416 	 0.959 	 1.422 	1.203 	53288.094057 	5 	 28.762 	4.971 	
25 	 1 	 3 	 1.387 	 0.983 	 1.375 	1.203 	53288.094887 	11 	 26.896 	8.631 	
25 	 1 	 4 	 1.432 	 0.931 	 1.420 	1.204 	53288.096545 	26 	 28.670 	24.497 	
26 	 1 	 0 	 1.766 	 0.939 	 1.704 	1.204 	53288.096131 	77 	 41.306 	1.538 	
26 	 1 	 1 	 1.645 	 0.950 	 1.617 	1.205 	53288.097789 	19 	 37.171 	1.763 	
26 	 1 	 2 	 1.441 	 0.961 	 1.440 	1.203 	53288.094472 	3 	 29.482 	4.955 	
26 	 1 	 3 	 1.328 	 0.990 	 1.302 	1.203 	53288.095301 	8 	 24.117 	8.581 	
26 	 1 	 4 	 1.475 	 0.930 	 1.462 	1.204 	53288.096960 	39 	 30.396 	24.555 	
27 	 1 	 0 	 1.723 	 0.946 	 1.666 	1.204 	53288.096545 	68 	 39.461 	1.542 	
27 	 1 	 1 	 1.559 	 0.953 	 1.543 	1.205 	53288.098204 	15 	 33.866 	1.761 	
27 	 1 	 2 	 1.399 	 0.963 	 1.384 	1.203 	53288.094887 	4 	 27.239 	4.931 	
27 	 1 	 3 	 1.337 	 0.989 	 1.324 	1.203 	53288.095716 	8 	 24.932 	8.552 	
27 	 1 	 4 	 1.479 	 0.926 	 1.474 	1.204 	53288.097375 	35 	 30.886 	24.619 	
28 	 1 	 0 	 1.755 	 0.943 	 1.696 	1.204 	53288.096960 	54 	 40.889 	1.540 	
28 	 1 	 1 	 1.568 	 0.954 	 1.551 	1.205 	53288.098618 	15 	 34.199 	1.753 	
28 	 1 	 2 	 1.377 	 0.966 	 1.355 	1.203 	53288.095301 	5 	 26.100 	4.891 	
28 	 1 	 3 	 1.400 	 0.982 	 1.401 	1.203 	53288.096131 	7 	 27.908 	8.553 	
28 	 1 	 4 	 1.537 	 0.933 	 1.509 	1.204 	53288.097789 	33 	 32.374 	24.534 	
29 	 1 	 0 	 1.795 	 0.942 	 1.731 	1.204 	53288.097375 	43 	 42.611 	1.549 	
29 	 1 	 1 	 1.562 	 0.956 	 1.540 	1.205 	53288.099033 	10 	 33.737 	1.744 	
29 	 1 	 2 	 1.391 	 0.958 	 1.398 	1.203 	53288.095716 	4 	 27.798 	4.872 	
29 	 1 	 3 	 1.338 	 0.986 	 1.324 	1.203 	53288.096545 	3 	 24.928 	8.568 	
29 	 1 	 4 	 1.473 	 0.926 	 1.463 	1.204 	53288.098204 	31 	 30.416 	24.428 	
30 	 1 	 0 	 1.760 	 0.935 	 1.706 	1.204 	53288.097789 	51 	 41.373 	1.543 	
30 	 1 	 1 	 1.520 	 0.960 	 1.486 	1.205 	53288.099448 	9 	 31.400 	1.740 	
30 	 1 	 2 	 1.408 	 0.961 	 1.418 	1.203 	53288.096131 	5 	 28.576 	4.865 	
30 	 1 	 3 	 1.339 	 0.985 	 1.327 	1.203 	53288.096960 	5 	 25.043 	8.580 	
30 	 1 	 4 	 1.434 	 0.920 	 1.440 	1.204 	53288.098618 	32 	 29.484 	24.303 	
31 	 1 	 0 	 1.735 	 0.932 	 1.696 	1.204 	53288.098204 	54 	 40.886 	1.547 	
31 	 1 	 1 	 1.580 	 0.949 	 1.567 	1.205 	53288.099862 	12 	 34.934 	1.738 	
31 	 1 	 2 	 1.404 	 0.962 	 1.411 	1.203 	53288.096545 	3 	 28.290 	4.885 	
31 	 1 	 3 	 1.356 	 0.989 	 1.339 	1.203 	53288.097375 	7 	 25.505 	8.609 	
